,song_id,artist_id,album_id,track_id,artist_name,album_name,track_name
0,SOSKUNI12AB0187F12,ARZWK2R1187B98F09F,2557,TRAASQC128F93480F0,Rise Against,Revolutions Per Minute,Amber Changing
1,SOREHRF12A6701C41A,ARX16TQ1187B9899C9,9915,TRAATSK128E078787D,Oysterhead,The Grand Pecking Order,Rubberneck Lions (LP Version)
2,SOQBUPE12A8C13B9DC,ARYN2HS1187FB4CD67,3940,TRAAULB128F4270576,Archers Of Loaf,Vee Vee,Greatest of All Time
3,SOJUYUH12A8C1422D3,ARZN0BZ1187B99F496,4003,TRACOTR128F92E16B1,Neutral Milk Hotel,On Avery Island,Someone Is Waiting
4,SOLPTCL12AB0181839,AR00FVC1187FB5BE3E,15051,TRADDQF128F9333961,Panda,Poetics,Lascivamente
5,SOSMWDQ12A6701E981,ARH3S5S1187FB4F76B,992,TRADPIA128E078EE1B,Nirvana,In Utero,Heart-Shaped Box
6,SONWFXV12AB018D56A,ARXYVR61187B9A8E41,9794,TRAFMKA12903CC4BCD,Biohazard,Mata Leao,True Strengths (LP Version)
7,SONZWDK12A6701F62B,ARL4UQB1187B9B74E3,981,TRAGACS128E078E74D,New Radicals,Maybe You've Been Brainwashed Too,You Get What You Give
8,SOZEDHN12AF729E843,ARZQ1KI1187FB4E578,9776,TRAHGEY128F42841C0,Emilie Simon,The Flower Book,Desert
9,SOSPGZY12A81C225ED,ARIWR801187B9A27A3,12709,TRAHNSS128F934C092,Cataract,Cataract,Choke Down
10,SOECEFN12A6D4F6FC5,ARMJXRP1187FB461A0,1419,TRAHXQQ128F145F8F4,Ohio Players,Skin Tight,Jive Turkey
11,SOQQNMP12A6D4FD181,AREWSN61187B9989BE,12788,TRAKOWC128F421C16E,Nik Freitas,Sun Down,What You Become
12,SOGWYVC12A6701F5DC,ARVHQNN1187B9B9FA3,9506,TRANHDZ128E07900D4,Cat Stevens,Box Set,Last Love Song
13,SOHULRD12A58A7C2FA,ARLMHFV1187B9A3833,1909,TRARBQU128F4295F88,Smif-n-Wessun,Dah Shinin',Wipe Ya Mouf (LP Version)
14,SOSMURB12AB01880D6,ARK9L321187B9B5481,5374,TRASZLF12903CA7204,Go Betty Go,Nothing Is More,Get Out
15,SOWEZSI12A81C21CE6,AR2UQQ51187B9AC816,563,TRAUCNU128F42671EB,Gipsy Kings,Gipsy Kings,Tu Quieres Volver
16,SOXNUWK12A8C140027,AR4C6V01187FB3BAF4,6921,TRAVKJI12903CF479A,Moonspell,Wolfheart,Trebraruna
17,SOTUOKL12A8AE47BC9,ARK99K41187B9AEC53,1279,TRAWGXL128F93583ED,Travis,The Man Who,She's So Strange
